"Parameter","Treatment","DoC","Mean","Tukey_Letter","ANOVA_p"
"DO","ABC",30,5.53333333333333,"a",0.000132603359670261
"DO","ABC",60,4.15,"b",0.000132603359670261
"DO","ABC",90,3.87333333333333,"d",0.000132603359670261
"DO","ABC",120,4.06666666666667,"c",0.000132603359670261
"DO","ABC",150,3.54666666666667,"e",0.000132603359670261
"DO","ABC",180,3.45333333333333,"f",0.000132603359670261
"DO","BC",30,5.7,"a",0.000382805312721496
"DO","BC",60,4.275,"e",0.000382805312721496
"DO","BC",90,3.99,"f",0.000382805312721496
"DO","BC",120,5.4,"b",0.000382805312721496
"DO","BC",150,4.99666666666667,"c",0.000382805312721496
"DO","BC",180,4.995,"d",0.000382805312721496
"DO","BCP",30,5.26666666666667,"b",0.0191312188240661
"DO","BCP",60,4.15,"e",0.0191312188240661
"DO","BCP",90,4.02,"f",0.0191312188240661
"DO","BCP",120,5.70666666666667,"a",0.0191312188240661
"DO","BCP",150,5.02,"c",0.0191312188240661
"DO","BCP",180,4.89666666666667,"d",0.0191312188240661
"DO","BCS",30,5.5,"a",0.000107332264707176
"DO","BCS",60,4.075,"e",0.000107332264707176
"DO","BCS",90,3.85,"f",0.000107332264707176
"DO","BCS",120,5.11333333333333,"b",0.000107332264707176
"DO","BCS",150,4.84,"d",0.000107332264707176
"DO","BCS",180,4.84333333333333,"c",0.000107332264707176
"DO","IMTA",30,5.53333333333333,"a",0.00490808223119725
"DO","IMTA",60,4.23166666666667,"e",0.00490808223119725
"DO","IMTA",90,3.97333333333333,"f",0.00490808223119725
"DO","IMTA",120,5.28,"b",0.00490808223119725
"DO","IMTA",150,5.04333333333333,"c",0.00490808223119725
"DO","IMTA",180,4.98166666666667,"d",0.00490808223119725
"DO","PO",30,5.16666666666667,"b",0.016418466369026
"DO","PO",60,3.875,"e",0.016418466369026
"DO","PO",90,3.61666666666667,"f",0.016418466369026
"DO","PO",120,5.23333333333333,"a",0.016418466369026
"DO","PO",150,4.81333333333333,"c",0.016418466369026
"DO","PO",180,4.68666666666667,"d",0.016418466369026
"Salinity","ABC",30,5.03333333333333,"b",6.09333626765326e-15
"Salinity","ABC",60,3.64333333333333,"c",6.09333626765326e-15
"Salinity","ABC",90,2.25666666666667,"e",6.09333626765326e-15
"Salinity","ABC",120,1.62333333333333,"f",6.09333626765326e-15
"Salinity","ABC",150,3.63333333333333,"d",6.09333626765326e-15
"Salinity","ABC",180,5.66333333333333,"a",6.09333626765326e-15
"Salinity","BC",30,4.86666666666667,"b",7.47791584777021e-15
"Salinity","BC",60,3.65333333333333,"d",7.47791584777021e-15
"Salinity","BC",90,2.30666666666667,"e",7.47791584777021e-15
"Salinity","BC",120,1.64666666666667,"f",7.47791584777021e-15
"Salinity","BC",150,3.68666666666667,"c",7.47791584777021e-15
"Salinity","BC",180,5.61666666666667,"a",7.47791584777021e-15
"Salinity","BCP",30,4.93333333333333,"b",3.10251519664349e-16
"Salinity","BCP",60,3.66333333333333,"c",3.10251519664349e-16
"Salinity","BCP",90,2.31666666666667,"e",3.10251519664349e-16
"Salinity","BCP",120,1.58,"f",3.10251519664349e-16
"Salinity","BCP",150,3.65,"d",3.10251519664349e-16
"Salinity","BCP",180,5.65666666666667,"a",3.10251519664349e-16
"Salinity","BCS",30,4.9,"b",1.64837152965166e-21
"Salinity","BCS",60,3.64333333333333,"d",1.64837152965166e-21
"Salinity","BCS",90,2.30333333333333,"e",1.64837152965166e-21
"Salinity","BCS",120,1.59,"f",1.64837152965166e-21
"Salinity","BCS",150,3.66333333333333,"c",1.64837152965166e-21
"Salinity","BCS",180,5.65333333333333,"a",1.64837152965166e-21
"Salinity","IMTA",30,4.93333333333333,"b",7.1092802189391e-19
"Salinity","IMTA",60,3.67,"c",7.1092802189391e-19
"Salinity","IMTA",90,2.33,"e",7.1092802189391e-19
"Salinity","IMTA",120,1.62666666666667,"f",7.1092802189391e-19
"Salinity","IMTA",150,3.64666666666667,"d",7.1092802189391e-19
"Salinity","IMTA",180,5.65666666666667,"a",7.1092802189391e-19
"Salinity","PO",30,4.93333333333333,"b",1.03684332222656e-13
"Salinity","PO",60,3.63,"d",1.03684332222656e-13
"Salinity","PO",90,2.43666666666667,"e",1.03684332222656e-13
"Salinity","PO",120,1.62,"f",1.03684332222656e-13
"Salinity","PO",150,3.66333333333333,"c",1.03684332222656e-13
"Salinity","PO",180,5.64,"a",1.03684332222656e-13
"TAN","ABC",30,0.8,"f",1.4985618190658e-05
"TAN","ABC",60,0.923333333333333,"e",1.4985618190658e-05
"TAN","ABC",90,1,"d",1.4985618190658e-05
"TAN","ABC",120,1.03333333333333,"c",1.4985618190658e-05
"TAN","ABC",150,1.29,"b",1.4985618190658e-05
"TAN","ABC",180,1.44,"a",1.4985618190658e-05
"TAN","BC",30,0.8,"f",2.4531606819959e-05
"TAN","BC",60,0.906666666666667,"e",2.4531606819959e-05
"TAN","BC",90,1.02333333333333,"d",2.4531606819959e-05
"TAN","BC",120,1.07666666666667,"c",2.4531606819959e-05
"TAN","BC",150,1.24333333333333,"b",2.4531606819959e-05
"TAN","BC",180,1.31666666666667,"a",2.4531606819959e-05
"TAN","BCP",30,0.816666666666667,"f",0.000115841177605234
"TAN","BCP",60,0.873333333333333,"e",0.000115841177605234
"TAN","BCP",90,1.00666666666667,"d",0.000115841177605234
"TAN","BCP",120,1.02666666666667,"c",0.000115841177605234
"TAN","BCP",150,1.20333333333333,"b",0.000115841177605234
"TAN","BCP",180,1.20666666666667,"a",0.000115841177605234
"TAN","BCS",30,0.843333333333333,"f",0.00105509184212444
"TAN","BCS",60,0.9,"e",0.00105509184212444
"TAN","BCS",90,1.01333333333333,"d",0.00105509184212444
"TAN","BCS",120,1.07,"c",0.00105509184212444
"TAN","BCS",150,1.20333333333333,"b",0.00105509184212444
"TAN","BCS",180,1.24,"a",0.00105509184212444
"TAN","IMTA",30,0.813333333333333,"f",2.85717644937371e-05
"TAN","IMTA",60,0.873333333333333,"e",2.85717644937371e-05
"TAN","IMTA",90,0.966666666666667,"d",2.85717644937371e-05
"TAN","IMTA",120,1.02333333333333,"c",2.85717644937371e-05
"TAN","IMTA",150,1.21333333333333,"b",2.85717644937371e-05
"TAN","IMTA",180,1.23,"a",2.85717644937371e-05
"TAN","PO",30,0.803333333333333,"f",0.000136431123771571
"TAN","PO",60,0.873333333333333,"e",0.000136431123771571
"TAN","PO",90,0.993333333333333,"d",0.000136431123771571
"TAN","PO",120,1.04333333333333,"c",0.000136431123771571
"TAN","PO",150,1.21,"b",0.000136431123771571
"TAN","PO",180,1.28,"a",0.000136431123771571
"TDS","ABC",30,385.333333333333,"f",2.10606704794702e-09
"TDS","ABC",60,487.333333333333,"e",2.10606704794702e-09
"TDS","ABC",90,581.666666666667,"d",2.10606704794702e-09
"TDS","ABC",120,625.333333333333,"c",2.10606704794702e-09
"TDS","ABC",150,706.333333333333,"b",2.10606704794702e-09
"TDS","ABC",180,947.666666666667,"a",2.10606704794702e-09
"TDS","BC",30,393,"f",1.15265178931376e-12
"TDS","BC",60,485.333333333333,"e",1.15265178931376e-12
"TDS","BC",90,568.333333333333,"d",1.15265178931376e-12
"TDS","BC",120,838.333333333333,"c",1.15265178931376e-12
"TDS","BC",150,1199,"b",1.15265178931376e-12
"TDS","BC",180,1276.66666666667,"a",1.15265178931376e-12
"TDS","BCP",30,391.333333333333,"f",8.01644135651619e-15
"TDS","BCP",60,477,"e",8.01644135651619e-15
"TDS","BCP",90,566.333333333333,"d",8.01644135651619e-15
"TDS","BCP",120,833.333333333333,"c",8.01644135651619e-15
"TDS","BCP",150,1194.33333333333,"b",8.01644135651619e-15
"TDS","BCP",180,1290.66666666667,"a",8.01644135651619e-15
"TDS","BCS",30,387.666666666667,"f",1.14194454445817e-09
"TDS","BCS",60,477.666666666667,"e",1.14194454445817e-09
"TDS","BCS",90,580.333333333333,"d",1.14194454445817e-09
"TDS","BCS",120,813.333333333333,"c",1.14194454445817e-09
"TDS","BCS",150,1105,"b",1.14194454445817e-09
"TDS","BCS",180,1201.66666666667,"a",1.14194454445817e-09
"TDS","IMTA",30,382,"f",5.63611783474422e-14
"TDS","IMTA",60,476.666666666667,"e",5.63611783474422e-14
"TDS","IMTA",90,575.333333333333,"d",5.63611783474422e-14
"TDS","IMTA",120,814.666666666667,"c",5.63611783474422e-14
"TDS","IMTA",150,1121,"b",5.63611783474422e-14
"TDS","IMTA",180,1223.66666666667,"a",5.63611783474422e-14
"TDS","PO",30,379.333333333333,"f",2.94043444321039e-12
"TDS","PO",60,483.666666666667,"e",2.94043444321039e-12
"TDS","PO",90,585.666666666667,"d",2.94043444321039e-12
"TDS","PO",120,817.333333333333,"c",2.94043444321039e-12
"TDS","PO",150,1140.33333333333,"b",2.94043444321039e-12
"TDS","PO",180,1218,"a",2.94043444321039e-12
"pH","ABC",30,8.23333333333333,"a",0.0199243557487362
"pH","ABC",60,7.72,"e",0.0199243557487362
"pH","ABC",90,7.74333333333333,"d",0.0199243557487362
"pH","ABC",120,7.55666666666667,"f",0.0199243557487362
"pH","ABC",150,7.93333333333333,"c",0.0199243557487362
"pH","ABC",180,8.1,"b",0.0199243557487362
"pH","BC",30,8.1,"a",0.000747703257664906
"pH","BC",60,7.80333333333333,"e",0.000747703257664906
"pH","BC",90,7.90333333333333,"d",0.000747703257664906
"pH","BC",120,7.52,"f",0.000747703257664906
"pH","BC",150,8,"c",0.000747703257664906
"pH","BC",180,8.1,"b",0.000747703257664906
"pH","BCP",30,8.16666666666667,"a",0.0237699981838038
"pH","BCP",60,7.83,"e",0.0237699981838038
"pH","BCP",90,7.98666666666667,"c",0.0237699981838038
"pH","BCP",120,7.67666666666667,"f",0.0237699981838038
"pH","BCP",150,7.90333333333333,"d",0.0237699981838038
"pH","BCP",180,8.03333333333333,"b",0.0237699981838038
"pH","BCS",30,8.16666666666667,"b",0.00619327183703711
"pH","BCS",60,7.82,"d",0.00619327183703711
"pH","BCS",90,7.93,"c",0.00619327183703711
"pH","BCS",120,7.64,"f",0.00619327183703711
"pH","BCS",150,7.76666666666667,"e",0.00619327183703711
"pH","BCS",180,8.23333333333333,"a",0.00619327183703711
"pH","IMTA",30,8.13333333333333,"a",0.00101258937442481
"pH","IMTA",60,7.84,"d",0.00101258937442481
"pH","IMTA",90,8.10666666666667,"c",0.00101258937442481
"pH","IMTA",120,7.72,"e",0.00101258937442481
"pH","IMTA",150,7.6,"f",0.00101258937442481
"pH","IMTA",180,8.13333333333333,"b",0.00101258937442481
"pH","PO",30,8.03333333333333,"c",3.27665418646006e-05
"pH","PO",60,7.82,"e",3.27665418646006e-05
"pH","PO",90,8.26666666666667,"a",3.27665418646006e-05
"pH","PO",120,7.54333333333333,"f",3.27665418646006e-05
"pH","PO",150,8.1,"b",3.27665418646006e-05
"pH","PO",180,8.03333333333333,"d",3.27665418646006e-05
